HELIUM                                                                  

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 3.822E+02 2.488E-06 
1.500E-03 3.678E+02 3.822E-06 
2.000E-03 3.603E+02 5.197E-06 
2.500E-03 3.572E+02 6.592E-06 
3.000E-03 3.569E+02 7.993E-06 
4.000E-03 3.616E+02 1.078E-05 
5.000E-03 3.703E+02 1.352E-05 
6.000E-03 3.814E+02 1.618E-05 
7.000E-03 3.937E+02 1.876E-05 
8.000E-03 4.067E+02 2.126E-05 
9.000E-03 4.202E+02 2.368E-05 
1.000E-02 4.339E+02 2.602E-05 
1.250E-02 4.685E+02 3.156E-05 
1.500E-02 5.028E+02 3.671E-05 
1.750E-02 5.363E+02 4.152E-05 
2.000E-02 5.690E+02 4.605E-05 
2.250E-02 6.008E+02 5.032E-05 
2.500E-02 6.317E+02 5.438E-05 
2.750E-02 6.618E+02 5.825E-05 
3.000E-02 6.910E+02 6.194E-05 
3.500E-02 7.474E+02 6.889E-05 
4.000E-02 8.011E+02 7.535E-05 
4.500E-02 8.525E+02 8.140E-05 
5.000E-02 9.017E+02 8.710E-05 
5.500E-02 9.491E+02 9.251E-05 
6.000E-02 9.948E+02 9.765E-05 
6.500E-02 1.039E+03 1.026E-04 
7.000E-02 1.082E+03 1.073E-04 
7.500E-02 1.123E+03 1.118E-04 
8.000E-02 1.163E+03 1.162E-04 
8.500E-02 1.202E+03 1.204E-04 
9.000E-02 1.240E+03 1.245E-04 
9.500E-02 1.277E+03 1.285E-04 
1.000E-01 1.313E+03 1.324E-04 
1.250E-01 1.479E+03 1.503E-04 
1.500E-01 1.627E+03 1.664E-04 
1.750E-01 1.759E+03 1.811E-04 
2.000E-01 1.877E+03 1.949E-04 
2.250E-01 1.983E+03 2.078E-04 
2.500E-01 2.078E+03 2.201E-04 
2.750E-01 2.164E+03 2.319E-04 
3.000E-01 2.240E+03 2.433E-04 
3.500E-01 2.367E+03 2.650E-04 
4.000E-01 2.466E+03 2.856E-04 
4.500E-01 2.540E+03 3.056E-04 
5.000E-01 2.593E+03 3.251E-04 
5.500E-01 2.628E+03 3.442E-04 
6.000E-01 2.648E+03 3.632E-04 
6.500E-01 2.656E+03 3.820E-04 
7.000E-01 2.653E+03 4.008E-04 
7.500E-01 2.642E+03 4.197E-04 
8.000E-01 2.624E+03 4.387E-04 
8.500E-01 2.601E+03 4.578E-04 
9.000E-01 2.574E+03 4.772E-04 
9.500E-01 2.543E+03 4.967E-04 
1.000E+00 2.510E+03 5.165E-04 
1.250E+00 2.325E+03 6.199E-04 
1.500E+00 2.141E+03 7.320E-04 
1.750E+00 1.977E+03 8.536E-04 
2.000E+00 1.834E+03 9.850E-04 
2.250E+00 1.707E+03 1.126E-03 
2.500E+00 1.594E+03 1.278E-03 
2.750E+00 1.493E+03 1.440E-03 
3.000E+00 1.403E+03 1.613E-03 
3.500E+00 1.250E+03 1.991E-03 
4.000E+00 1.130E+03 2.412E-03 
4.500E+00 1.034E+03 2.875E-03 
5.000E+00 9.544E+02 3.379E-03 
5.500E+00 8.873E+02 3.923E-03 
6.000E+00 8.300E+02 4.506E-03 
6.500E+00 7.803E+02 5.128E-03 
7.000E+00 7.368E+02 5.787E-03 
7.500E+00 6.983E+02 6.485E-03 
8.000E+00 6.640E+02 7.219E-03 
8.500E+00 6.333E+02 7.990E-03 
9.000E+00 6.055E+02 8.798E-03 
9.500E+00 5.803E+02 9.642E-03 
1.000E+01 5.573E+02 1.052E-02 
1.250E+01 4.669E+02 1.544E-02 
1.500E+01 4.035E+02 2.122E-02 
1.750E+01 3.564E+02 2.783E-02 
2.000E+01 3.199E+02 3.525E-02 
2.500E+01 2.667E+02 5.244E-02 
2.750E+01 2.467E+02 6.220E-02 
3.000E+01 2.297E+02 7.271E-02 
3.500E+01 2.024E+02 9.595E-02 
4.000E+01 1.813E+02 1.221E-01 
4.500E+01 1.645E+02 1.511E-01 
5.000E+01 1.508E+02 1.829E-01 
5.500E+01 1.393E+02 2.174E-01 
6.000E+01 1.296E+02 2.546E-01 
6.500E+01 1.213E+02 2.945E-01 
7.000E+01 1.141E+02 3.370E-01 
7.500E+01 1.078E+02 3.821E-01 
8.000E+01 1.022E+02 4.298E-01 
8.500E+01 9.716E+01 4.800E-01 
9.000E+01 9.268E+01 5.327E-01 
9.500E+01 8.863E+01 5.879E-01 
1.000E+02 8.495E+01 6.456E-01 
1.250E+02 7.069E+01 9.697E-01 
1.500E+02 6.089E+01 1.352E+00 
1.750E+02 5.372E+01 1.790E+00 
2.000E+02 4.823E+01 2.282E+00 
2.250E+02 4.388E+01 2.826E+00 
2.500E+02 4.036E+01 3.421E+00 
2.750E+02 3.744E+01 4.065E+00 
3.000E+02 3.498E+01 4.756E+00 
3.500E+02 3.106E+01 6.277E+00 
4.000E+02 2.807E+01 7.973E+00 
4.500E+02 2.571E+01 9.837E+00 
5.000E+02 2.380E+01 1.186E+01 
5.500E+02 2.223E+01 1.404E+01 
6.000E+02 2.091E+01 1.636E+01 
6.500E+02 1.978E+01 1.882E+01 
7.000E+02 1.881E+01 2.141E+01 
7.500E+02 1.796E+01 2.413E+01 
8.000E+02 1.722E+01 2.698E+01 
8.500E+02 1.656E+01 2.994E+01 
9.000E+02 1.598E+01 3.301E+01 
9.500E+02 1.545E+01 3.620E+01 
1.000E+03 1.497E+01 3.948E+01 
